Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
253,00:00:08.442,0.4857736240913811,0.2954439252336449,0.5768691588785047,0.5850077881619937
254,00:00:08.475,0.34828660436137077,0.230607476635514,0.3993769470404984,0.4148753894080997
255,00:00:08.509,0.23651349948078923,0.12636292834890966,0.28430685358255453,0.2988707165109034
256,00:00:08.542,0.019288681204569055,0.01277258566978193,0.02764797507788162,0.017445482866043614
257,00:00:08.575,0.06882139148494289,0.05097352024922119,0.10611370716510904,0.04937694704049844
258,00:00:08.609,0.060578920041536866,0.05179127725856698,0.11281152647975078,0.017133956386292833
259,00:00:08.642,0.0384865005192108,0.03426791277258567,0.07480529595015577,0.006386292834890965
260,00:00:08.675,0.05050623052959502,0.04750778816199377,0.09579439252336448,0.008216510903426791
261,00:00:08.709,0.051570612668743514,0.05116822429906542,0.09380841121495327,0.009735202492211837
262,00:00:08.742,0.00895638629283489,0.008255451713395638,0.018613707165109034,0.0
263,00:00:08.775,0.03856438213914849,0.03835669781931464,0.07316978193146417,0.004166666666666667
264,00:00:08.809,0.03478712357217031,0.030763239875389408,0.06947040498442368,0.004127725856697819
265,00:00:08.842,0.0576453790238837,0.05214174454828661,0.12028816199376947,0.0005062305295950156
266,00:00:08.876,0.049325025960539975,0.04384735202492212,0.09945482866043613,0.004672897196261682
267,00:00:08.909,0.038681204569055036,0.03364485981308411,0.07554517133956386,0.006853582554517134
268,00:00:08.942,0.007255970924195223,0.0068925233644859816,0.014330218068535825,0.0005451713395638629
269,00:00:08.976,0.023169781931464174,0.021884735202492213,0.04524922118380062,0.0023753894080996885
270,00:00:09.009,0.06034527518172378,0.0536993769470405,0.1146417445482866,0.012694704049844237
271,00:00:09.042,0.039265316718587746,0.03524143302180685,0.07714174454828661,0.005412772585669782
272,00:00:09.076,0.03269730010384216,0.02998442367601246,0.06717289719626168,0.0009345794392523365
273,00:00:09.109,0.04567757009345794,0.0411993769470405,0.09583333333333334,0.0
274,00:00:09.142,0.007463655244029077,0.008294392523364487,0.014096573208722742,0.0
275,00:00:09.176,0.037733644859813086,0.033099688473520246,0.06771806853582554,0.012383177570093457
276,00:00:09.209,0.049999999999999996,0.05268691588785047,0.0963785046728972,0.0009345794392523365
277,00:00:09.243,0.03243769470404984,0.0323208722741433,0.06499221183800623,0.0
278,00:00:09.276,0.04600207684319834,0.04100467289719626,0.0948208722741433,0.0021806853582554517
279,00:00:09.309,0.06635514018691589,0.06109813084112149,0.11947040498442367,0.01849688473520249
280,00:00:09.343,0.020132398753894082,0.016004672897196263,0.03383956386292835,0.010552959501557633
281,00:00:09.376,0.023676012461059187,0.022585669781931463,0.04158878504672897,0.006853582554517134
282,00:00:09.409,0.028024402907580476,0.028271028037383177,0.04524922118380062,0.010552959501557633
283,00:00:09.443,0.03646157840083073,0.03465732087227414,0.07472741433021807,0.0
284,00:00:09.476,0.03817497403946002,0.03691588785046729,0.07745327102803738,0.00015576323987538941
285,00:00:09.510,0.04536604361370716,0.04279595015576324,0.08485202492211838,0.008450155763239875
286,00:00:09.543,0.005828141225337487,0.006970404984423676,0.010514018691588784,0.0
287,00:00:09.576,0.048740913811007265,0.04676791277258567,0.09240654205607476,0.007048286604361371
288,00:00:09.610,0.02995846313603323,0.02620716510903427,0.06366822429906542,0.0
289,00:00:09.643,0.031087746625129798,0.03014018691588785,0.0514018691588785,0.011721183800623054
290,00:00:09.676,0.051388888888888894,0.048286604361370715,0.10186915887850467,0.004010903426791277
291,00:00:09.710,0.05882658359293874,0.051752336448598134,0.11246105919003116,0.012266355140186916
292,00:00:09.743,0.005269989615784009,0.006230529595015576,0.009579439252336449,0.0
293,00:00:09.776,0.024571651090342678,0.02780373831775701,0.043457943925233646,0.002453271028037383
294,00:00:09.810,0.04230269989615784,0.042328660436137075,0.08457943925233645,0.0
295,00:00:09.843,0.08021806853582554,0.0641355140186916,0.13598130841121495,0.040537383177570094
